KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
CloneChamberHV,Clone Chamber,Klonkammer,Chambre de clonage,Camera di Clonazione,Cámara de Clonación,,Câmara de Clonagem,Komora klonowania,Палата клонов,クローンチェンバー,克隆舱,克隆艙,,,Θάλαμος Κλωνοποίησης,Kloon kamer,Phòng nhân bản
MedicStationHV,Trauma Station,Medizinstation (BG),Station médicale (HV),Stazione Medica (H),Estación médica (HV),,,,Травматологический пункт,メディカルステーション (HV),,醫療站(HV),,,Ιατρικός Σταθμός (HV),,Trạm y tế (HV)
MedicalStationBlocks,Medical Devices,Medizinstationen,Blocs médicaux,Dispositivi Medici,Dispositivos Médicos,,Equipamentos Médicos,Urządzenia medyczne (grupa),Медицинское оборудование,メディカルデバイス,医疗设备方块组,醫療設備方塊組,,,Ιατρικές Συσκευές,Medische apparaten,Các thiết bị y tế
MobileAirCon,Thermal Regulator,Tragbares Heiz- und Kühlaggregat,Régulateur de température,Stabilizzatore di Temperatura,Regulador de temperatura portátil,,Aquecedor/Refrigerador Portátil,Przenośny podgrzewacz / chłodnica,Терморегулятор,簡易冷暖機器,便携式空调设备,便攜式空調設備,,,Φορητός Θερμαντήρας/Ψύκτης,Draagbare verwarmer/koeler,Máy sưởi /Máy làm mát di động
LandClaimDevice,Land Claim Device,Gebietsbeanspruchungsgerät,Revendication territoriale,Dispositivo di Rivendicazione Terreno,Dispositivo de Reclamo de Tierras,,Dispositivo de reivindicação de terras,Urządzenie do pozyskiwania ziemi,Устройство претензии на землю,エリアプロテクト,领地宣称设备,領地宣稱設備,,,Συσκευή Διεκδίκησης Γης,Land claim apparaat,Thiết bị xác nhận quyền sở hữu đất
igmEffectHangover,"[c][753F00][b]HANGOVER[/b][-][/c]\nThis is... [i]not[/i] fun.\n[c][FFFFFF]Juices, Tea, Milk, Lemon and going to sleep will [i]hopefully[/i] fix it...[-][/c]","[c][ffffff]HANGOVER[-][/c]\n[c][ff8800]Abschwächen:[-][/c] -\n[c][44ff00]Heilen mit:[-][/c] Schmerzmitteln, Erste-Hilfe-Kasten, gereinigtem Wasser, heißem Getränk, Fruchtsaft, Gemüsesaft, Schlafen/Ruhe (Überlebenszelt, Bett), Toilette","[GUEULE[ffffff]GUEULE[-][/c]\n[c][ff8800]Atténuer :[-][/c] -\n[c][44ff00]Soigner avec :[-][/c] des analgésiques, une trousse de premiers secours, de l'eau purifiée, une boisson chaude, un jus de fruit, un jus de légumes, dormir/reposer (tente de survie, lit), des toilettes","[c][ffffff]POSTUMI DA SBORNIA[-][/c]\n[c][ff8800]Attenuazione:[-][/c]  -\n[c][44ff00]Cura:[-][/c]  Antidolorifici, Kit Medico, Acqua Purificata, Bevanda Calda, Succo di Frutta, Succo di Verdura, Riposo (Tenda di Sopravvivenza, Letto), Bagno","[c][ffffff]RESACA[-][/c]|n[c][ff8800]Mitigar:[-][/c] -n[c][44ff00]Curar con:[-][/c] Analgésicos, Botiquín, Agua Purificada, Bebida Caliente, Zumo de Frutas, Zumo de Verduras, Dormir/Descansar (Tienda de Supervivencia, Cama), Aseo",,,,"[c][753F00][b]ПОХЕМЛЕНИЕ[/b][-][/c]\nЭто... [i]нет[/i] весело.\n[c][FFFFFF]Соки, чай, молоко, лимон и сон будут [i]надеюсь[/i] исправь это...[-][/c]","[c][00ffff]二日酔い[-][/c]\n[c][ff8800]軽減: [-][/c]   -\n[c][44ff00]治療: [-][/c]  鎮痛剤, 応急処置キット, 精製水, ホットビバレッジ, フルーツジュース, 野菜ジュース, 睡眠・休憩（サバイバルテント, ベッド）, トイレ",,"[c][ffffff]宿醉[-][/c]\n[c][ff8800]緩解:[-][/c]  -\n[c][44ff00]以此治療:[-][/c]  止痛藥, First Aid Kit, 淨水, 熱飲, 水果汁, 蔬菜汁, 休息(床上,生存帳篷), 廁所",,,"[c][ffffff]ΖΑΛΑΔΑ[-][/c]\n[c][ff8800]Μετριασμός:[-][/c] -\n[c][44ff00]Θεραπεία με:[-][/c] Παυσίπονα, κιτ πρώτων βοηθειών, κεκαθαρμένο νερό, ζεστό ρόφημα, χυμός φρούτων, χυμός λαχανικών, ύπνος/ξεκούραση (σκηνή επιβίωσης, κρεβάτι), τουαλέτα",,"[c][ffffff]LƠ NGƠ[-][/c]\n[c][ff8800]Giảm nhẹ:[-][/c]-\n[c][44ff00]Chữa lành bằng:[-][/c]Thuốc giảm đau, Bộ sơ cứu, Nước tinh khiết, Đồ uống nóng, Nước hoa quả, Nước ép rau, Ngủ /nghỉ (Lều sinh tồn, Giường), Nhà vệ sinh"
igmEffectBadTrip,"[c][ffffff]BAD TRIP[-][/c]\n[c][ff8800]Mitigate:[-][/c]  -\n[c][44ff00]Heal with:[-][/c]  Rest/sleep (bed, tent), Toilet, Milk, Hot Beverages, Antitoxic Pills, Antitoxic Injection, First Aid Kit, Detox Kit, Fire Moss scrapings ","[c][ffffff]SCHLECHTE REISE[-][/c]Abschwächen:[-][/c] -\n[c][44ff00]Heilen mit:[-][/c] Ausruhen/Schlafen (Bett, Zelt), Toilette, Milch, Heiße Getränke, Antitoxische Pillen, Antitoxische Injektion, Erste-Hilfe-Kit, Entgiftungs-Kit, Feuermoos-Abfälle","[c][ffffff]MAUVAIS VOYAGE[-][/c]\n[c][ff8800]Atténuer :[-][/c] -\n[c][44ff00]Soigner avec :[-][/c] Repos/dormir (lit, tente), Toilette, Lait, Boissons chaudes, Pilules antitoxiques, Injection antitoxique, Trousse de premiers secours, Trousse de désintoxication, Raclures de mousse de feu","[c][ffffff]BAD TRIP[-][/c]\n[c][ff8800]Attenuazione:[-][/c]  -\n[c][44ff00]Cura:[-][/c]  Riposo (letto, tenda), Bagno, Latte, Bevanda Calda, Pillole Antitossiche, Iniezione Antitossica, Kit Medico, Kit Disintossicante, Fiore di Muschio del Fuoco","[c][ffffff]MAL VIAJE[-][/c]|n[c][ff8800]Mitigar:[-][/c] -n[c][44ff00]Curar con:[-][/c] Descanso/dormir (cama, tienda de campaña), Inodoro, Leche, Bebidas calientes, Píldoras antitóxicas, Inyección antitóxica, Botiquín de primeros auxilios, Kit de desintoxicación, Raspaduras de musgo de fuego",,,,"[c][ffffff]Плохое путешествие[-][/c]\n[c][ff8800]Смягчить:[-][/c]  -\n[c][44ff00]Лечитесь с помощью:[-][/c]  Отдых/сон (кровать, палатка), туалет, молоко, горячие напитки, антитоксические таблетки, антитоксические инъекции, аптечка первой помощи, детокс-аптечка, соскобы огненного мха.","[c][00ffff]幻覚[-][/c]\n[c][ff8800]軽減: [-][/c]   -\n[c][44ff00]治療: [-][/c]   休憩・睡眠（ベッド, テント）, トイレ, 牛乳, ホットビバレッジ, 解毒薬, 解毒注射, 応急処置キット, 解毒キット, ファイヤーモスの欠片",,"[c][ffffff]幻覺[-][/c]\n[c][ff8800]緩解:[-][/c]  -\n[c][44ff00]以此治療:[-][/c]  休息(床,帳篷), 廁所, 牛奶, 熱飲, 抗毒素藥片, 抗毒素針, 外科醫療包, 解毒醫療包,火焰苔蘚碎屑 ",,,"[c][ffffff]ΑΣΧΗΜΟ ΤΑΞΙΔΙ[-][/c]\n[c][ff8800]Μετριασμός:[-][/c] -\n[c][44ff00]Θεραπεία με:[-][/c ] Ξεκούραση/ύπνος (κρεβάτι, σκηνή), τουαλέτα, γάλα, ζεστά ροφήματα, αντιτοξικά χάπια, αντιτοξική ένεση, κιτ πρώτων βοηθειών, κιτ αποτοξίνωσης, ξύσιμο βρύου φωτιάς",,"[c][ffffff]CHUYẾN ĐI TỒI TỆ[-][/c]\n[c][ff8800]Giảm nhẹ:[-][/c]-\n[c][44ff00]Chữa lành bằng:[-][/c ]Nghỉ ngơi /ngủ (giường, lều), Nhà vệ sinh, Sữa, Đồ uống nóng, Thuốc chống độc, Thuốc tiêm chống độc, Bộ sơ cứu, Bộ giảm đau, Phế liệu chữa cháy"
TemperatureGain,Max temperature change,Max. Temperaturänderung,Plage de température,Range Massimo Temperatura,Cambio de temperatura máximo,,Mudança de temperatura máxima,Maksymalna zmiana temperatury,Максимальное изменение температуры,温度帯,最大温度范围,最大溫度範圍,,,Η Μέγιστη Θερμοκρασία άλλαξε,Maximale temperatuursverandering,Thay đổi nhiệt độ tối đa
igmWeaponNotShootablePlanet,You cannot use this device on a planet,Du kannst dieses Gerät nicht auf einem Planeten einsetzen.,Vous ne pouvez pas utiliser cette arme/outil sur une planète,Non puoi usare quest’arma o utensile su un pianeta,No puedes usar esta arma/herramienta en un planeta,,Você não pode usar esta arma/ferramenta em planetas,Nie możesz używać tej broni / narzędzia na planecie,Вы не можете использовать это устройство на планете,あなたはこの武器/ツールを惑星上で使用することはできません,不能在星球上使用此武器/工具,不能在星球上使用此武器/工具,,,Δεν μπορείς να χρησιμοποιήσεις αυτό το όπλο/εργαλείο στον πλανήτη,Je kunt dit wapen/gereedschap niet op een planeet gebruiken,Bạn không thể sử dụng vũ khí /công cụ này trên một hành tinh
igmWeaponNotShootableSpace,You cannot use this device in space,Du kannst dieses Gerät nicht im Weltraum nutzen.,Vous ne pouvez pas utiliser cette arme/outil dans l'espace,Non puoi usare quest’arma o utensile nello spazio,No puedes usar esta arma/herramienta en el espacio,,Você não pode usar esta arma/ferramenta no epaço,Nie możesz używać tej broni / narzędzia w kosmosie,Вы не можете использовать это устройство в космосе.,あなたはこの武器/道具を宇宙で使うことはできません,不能在太空中使用此武器/工具,不能在太空中使用此武器/工具,,,Δεν μπορείς να χρησιμοποιήσεις αυτό το όπλο/εργαλείο στο διάστημα,Je kunt dit wapen/gereedschap niet in de ruimte gebruiken,Bạn không thể sử dụng vũ khí /công cụ này trong không gian
ttwSVConstructor,Universal Constructor,Universeller Konstrukteur,Constructeur Universel,Costruttore Universale,Constructor universal,,,,Универсальный конструктор,コンストラクタ(SV),,建造機(SV),,,Κατασκευαστής (SV),,Máy chế tạo (SV)
AlienPepperStage2,Dapibus Plant (Growing),Blaue Paprika - Wachstumsphase 1,Poivron bleu - en croissance (1),Pepe Blu - In Crescita 1,Pimiento Azul - Creciendo 1,,Pimenta Azul - Crescendo 1,Papryka - rozwój 1,Завод Дапибус (Выращивание),ブルーペッパー:成長1,青椒 - 幼体 1,榴槤 - 生長1,,,Μπλε Πιπέρι - Μεγαλώνει 1,Blauwe paprika - Groeiend 1,Hạt tiêu xanh - Đang mọc 1
AlienPepperStage3,Dapibus Plant (Growing),Blaue Paprika - Wachstumsphase 2,Poivron bleu - en croissance (2),Pepe Blu - In Crescita 2,Pimiento Azul - Creciendo 2,,Pimenta Azul - Crescendo 2,Papryka - rozwój 2,Завод Дапибус (Выращивание),ブルーペッパー:成長2,青椒 - 幼体 2,榴槤 - 生長2,,,Μπλε Πιπέρι - Μεγαλώνει 2,Blauwe paprika - Groeiend 2,Hạt tiêu xanh - Đang mọc 2
AlienPepperStage4,Dapibus Plant (Growing),Blaue Paprika - Wachstumsphase 3,Poivron bleu - en croissance (3),Pepe Blu - In Crescita 3,Pimiento Azul - Creciendo 3,,Pimenta Azul - Crescendo 3,Papryka - rozwój 3,Завод Дапибус (Выращивание),ブルーペッパー:成長3,青椒 - 幼体 3,榴槤 - 生長3,,,Μπλε Πιπέρι - Μεγαλώνει 3,Blauwe paprika - Groeiend 3,Hạt tiêu xanh - Đang mọc 3
AlienPepperStage5,Dapibus Plant (Harvestable),Blaue Paprika - Erntereif,Poivron bleu - récoltable,Pepe Blu - Raccoglibile,Pimiento Azul - Cosechable,,Pimenta Azul - Colhível,Papryka - dojrzały,Завод Дапибус (урожайный),ブルーペッパー:成熟,青椒 - 可收获,榴槤 - 可收穫,,,Μπλε Πιπέρι - Έτοιμο για Συγκομιδή,Blauwe paprika - Oogstbaar,Hạt tiêu xanh - Có thể thu hoạch
AlienPepperStage5NoFruit,Dapibus Plant (Regrowing),Blaue Paprika - Unreif,Poivron bleu - Pré récolte,Pepe Blu - Pre-Raccolta,Pimiento Azul - Precosechable,,Pimenta Azul - Pré-Colheita,Papryka - owocowanie,Завод Дапибус (Восстановление),ブルーペッパー:成熟前,青椒 - 生长中,榴槤 - 準備收穫,,,Μπλε Πιπέρι - Πριν από την Συγκομιδή,Blauwe paprika - Bijna oogstbaar,Hạt tiêu xanh - Trước khi thu hoạch
BulbShroomStage3,Ovumcalix Plant (Harvestable),Große Eipflanze - Erntereif,Bulbe géant - récoltable,Grande Pianta Uovo,Berenjena grande - Cosechable,,Berinjela Grande - Colhível,Bakłażan - dojrzały,Растение Овумкаликс (сбор урожая),エッグプラント:成熟,大型蛋树 - 可收获,大蛋白樹 - 可收穫,,,Μεγάλο Αυγόφυτο - Έτοιμο για Συγκομιδή,Grote aubergine - Oogstbaar,Cà tím lớn - Có thể thu hoạch
BulbShroomYoungStage1,Ovumcalix Plant (Sprout),Große Eipflanze - Keim,Pousse de Bulbe géant,Grande Pianta Uovo - Germoglio,Berenjena grande - Brote,,Berinjela Grande - Muda,Bakłażan - pęd,Растение Овумкаликс (Проросток),エッグプラント:苗,大型蛋树 - 嫩芽,大蛋白樹 - 發芽,,,Μεγάλο Αυγόφυτο - Βλαστάρι,Grote aubergine - Stekje,Cà tím lớn - Mầm
BulbShroomYoungStage2,Ovumcalix Plant (Growing),Große Eipflanze - Im Wachstum,Bulbe géant - en croissance,Grande Pianta Uovo - In Crescita,Berenjena grande - Creciendo,,Berinjela Grande - Crescendo,Bakłażan - rozwój,Растение Овумкаликс (выращивание),エッグプラント:成長,大型蛋树 - 幼体,大蛋白樹 - 生長,텍스처 식물 단백질 - 성장,,Μεγάλο Αυγόφυτο - Μεγαλώνει,Grote aubergine - Groeiend,Cà tím lớn - Đang phát triển
BulbShroomYoungStage3,Ovumcalix Plant (Growing),Große Eipflanze - Unreif,Bulbe géant - Pré récolte,Grande Pianta Uovo - Pre-Raccolta,Berenjena grande - Precosechable,Proteína de Planta Texturizada - Pré-colheita,Berinjela Grande - Pré-Colheita,Bakłażan - owocowanie,Растение Овумкаликс (выращивание),エッグプラント:成熟,大型蛋树 - 生长中,大蛋白樹 - 準備收穫,텍스처 식물 단백질 - 수확 전,,Μεγάλο Αυγόφυτο - Πριν τη Συγκομιδή,Grote aubergine - Bijna oogstbaar,Cà tím lớn - Trước khi thu hoạch
ConfettiMoss,Confetti Moss,Konfettimoos,Mousse de confettis,Muschio di coriandoli,Musgo Confeti,,Musgo de Confete,Mech konfetti,Конфетти Мосс,コンフェティモス,五彩苔藓,五彩苔蘚,,,Βρύο Κομφετί,Confetti mos,Rêu mỏng
ConfettiMossHarvested,Confetti Moss (Regrowing),Konfettimoos - In Regeneration,Mousse de confettis - en régénération,Muschio di coriandoli – In Rigenerazione,Musgo Confeti - Regenerándose,,Musgo de Confete - Regenerando,Mech konfetti - odnowa,Мох конфетти (вырастающий),コンフェティモス:再生中,五彩苔藓 - 再生中,五彩苔蘚 - 再生中,,,Βρύο Κομφετί - Αναπαράγεται,Confetti mos - Regenererend,Rêu mỏng - Tái sinh
igmEffectRadiationSickness,"[c][ffffff]RADIATION SICKNESS[-][/c]\n[c][ff8800]Mitigate:[-][/c]  Take a shower (reduces RAD)\n[c][44ff00]Heal with:[-][/c]  Anti Radiation Injection, Decontamination Kit, Medical Station Type 4","[c][ffffff]STRAHLENKRANKHEIT[-][/c]\n[c][ff8800]Abschwächen:[-][/c] Duschen (reduziert RAD)\n[c][44ff00]Heilen mit:[-][/c] Anti-Strahlen-Injektion, Dekontaminations-Kit, Medizinische Station Typ 4","[Maladie des rayons[-][/c]\n[c][ffffff]Atténuer :[-][/c] Prendre une douche (réduit les rayons) \n[c][44ff00]Se soigner avec :[-][/c] Injection anti-radiations, Kit de décontamination, Station médicale de type 4","[c][ffffff]MALATTIA DA RADIAZIONI[-][/c]\n[c][ff8800]Attenuazione:[-][/c]  Doccia (riduce RAD)\n[c][44ff00]Cura:[-][/c]  Iniezione Anti-Radiazioni, Kit Decontaminazione, Stazione Medica Classe 4","[c][ffffff]ENFERMEDAD POR RADIACIÓN[-][/c]|Mitigar:[-][/c] Ducharse (reduce la RAD)|[c][44ff00]Curarse con:[-][/c] Inyección antirradiación, Kit de descontaminación, Estación médica tipo 4",,,,"[c][ffffff]РАДИАЦИОННАЯ БОЛЕЗНЬ[-][/c]\n[c][ff8800]Смягчить:[-][/c]  Примите душ (снижает РАД)\n[c][44ff00]Лечитесь с помощью:[-][/c]  Противорадиационная инъекция, комплект для дезактивации, медицинский пункт типа 4","[c][00ffff]放射線病[-][/c]\n[-][/c]   シャワーを浴びる（放射性物質を減らす）\n[c][44ff00]治療: [-][/c]   放射線防護注射, 除染キット, メディカルステーション4型",,"[c][ffffff]輻射病[-][/c]\n[c][ff8800]緩解:[-][/c] 洗個澡(降低輻射)\n[c][44ff00]以此治療:[-][/c]  抗輻射針, 應急(消毒)醫療包, 醫療站4型",,,"[c][ffffff]ΑΣΘΕΝΕΙΑ ΑΚΤΙΝΟΒΟΛΙΑΣ[-][/c]\n[c][ff8800]Μετριασμός:[-][/c] Κάνε ντους (μειώνει το RAD)\n[c][44ff00]Θεράστε με: [-][/c] Έγχυση κατά της ακτινοβολίας, κιτ απολύμανσης, Ιατρικός σταθμός Τύπος 4",,"[c][ffffff]BỆNH PHÓNG XẠ[-][/c]\n[c][ff8800]Giảm nhẹ:[-][/c]Đi tắm (giảm RAD)\n[c][44ff00]Chữa lành bằng:[-][/c]Tiêm chống bức xạ, Bộ khử nhiễm, Trạm y tế loại 4"
